Barcode,District Name,Name,Party,Candidate Name,Ac_No,Voter Survey Type,Gender,Religion,Qualification,Occupation,Annual Family Income,Age,Did U Vote In The Last Election?,If No Why,If Yes Did The Candidate Your Voted For In The Last Election,The Candidate,Candidates Party,Candidates Caste,IMP: Easier access to drinking water,IMP: Free Electricity,IMP: Free/Subsidized Loans,IMP: Support for Economically-weaker Sections,IMP: Irrigation Programs,IMP: Jobs through rural employment schemes,IMP: Lower rice/wheat prices,IMP: More schools,IMP: More teachers,IMP: School Facilities,IMP: Subsidy for seeds/fertilizers,IMP: Accessibility of MLA/MP,IMP: Better Law and Order/Policing,IMP: Better Public Transport,IMP: Better Roads,IMP: Eradication of Corruption,IMP: More Hospitals/Primary Health Care Centers,IMP: Trustworthiness of MLA,IMP: Security for Women,IMP: Better Electric Supply,IMP: Better Employment Opportunities,IMP: Better Garbage Clearance,IMP: Reservation for Jobs and Education,IMP: Subsidized Food Distribution,IMP: Training for Jobs,PERF: Others,PERF: Easier access to drinking water,PERF: Free Electricity,PERF: Free/Subsidized Loans,PERF: Support for Economically-weaker Sections,PERF: Irrigation Programs,PERF: Jobs through rural employment schemes,PERF: Lower rice/wheat prices,PERF: More schools,PERF: More teachers,PERF: School Facilities,PERF: Subsidy for seeds/fertilizers,PERF: Accessibility of MLA/MP,PERF: Better Law and Order/Policing,PERF: Better Public Transport,PERF: Better Roads,PERF: Eradication of Corruption,PERF: More Hospitals/Primary Health Care Centers,PERF: Trustworthiness of MLA,PERF: Security for Women,PERF: Better Electric Supply,PERF: Better Employment Opportunities,PERF: Better Garbage Clearance,PERF: Reservation for Jobs and Education,PERF: Subsidized Food Distribution,PERF: Training for Jobs,PERF: Others
214049,MYSORE,Nanjangud,INC,V.SRINIVASA PRASAD,214,URBAN,Male,CHRISTIAN,High School,Business,"50,001 to 1,00,000",45,Voted,,N,I,I,I,,,M,,M,,,,M,,M,H,H,H,M,L,M,M,M,H,M,L,M,L,M,M,,,,,,,,,,,,G,G,G,A,B,A,A,A,G,A,B,A,B,A,A
214050,MYSORE,Nanjangud,INC,V.SRINIVASA PRASAD,214,URBAN,Female,HINDU,No Education,Others,"50,001 to 1,00,000",44,Did not vote,1,,,,,,,,,M,,,,M,,M,M,L,H,H,L,M,M,L,H,M,L,M,M,L,L,,,,,,,,,,,,A,B,G,G,B,A,A,B,G,A,B,A,A,B,B
214051,MYSORE,Nanjangud,INC,V.SRINIVASA PRASAD,214,URBAN,Male,HINDU,PUC,Govt,"50,001 to 1,00,000",39,Voted,,Y,VI,I,NI,M,,M,,,,,,,,,M,L,H,H,L-M,M,M,L,L,M,M,H,H,M,L,,,,,,,,,,,,A,B,G,G,B,A,A,B,B,A,A,G,G,A,B
214052,MYSORE,Nanjangud,INC,V.SRINIVASA PRASAD,214,URBAN,Male,OTHERS,Degree,Medical,"1,00,001 to 2,50,000",50,Voted,,Y,VI,I,VI,,,,,M,,,,,,,M,L,M,M,L,M,L,L,M,M,L,M,L,M,M,,,,,,,,,,,,A,B,A,A,B,A,B,B,A,A,B,A,B,A,A
214053,MYSORE,Nanjangud,INC,V.SRINIVASA PRASAD,214,URBAN,Female,HINDU,PUC,Govt,"50,001 to 1,00,000",29,Voted,,Y,VI,I,VI,,,M,,,,,,M,,M,M,H,M-H,M,L,M,L,H,M,L,M,M,L,L,M,,,,,,,,,,,,A,G,G,A,B,A,B,G,A,B,A,A,B,B,A
215001,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,High School,Others,"25,001 to 50,000",29,Voted,,Y,VI,I,VI,M,L,L,M,L,M,L,M,L,M,L,M,L,M,L,L,M,M,,,,,,,,,A,B,B,A,B,A,B,A,B,A,B,A,B,A,B,B,A,A,,,,,,,,
215002,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,MUSLIM,High School,Others,"25,001 to 50,000",30,Voted,,Y,I,I,I,H,L,M,L,M,L,M,H,M,M,L,L,M,M,H,L,M,M,,,,,M,,,,G,B,A,B,A,B,A,G,A,A,B,B,A,A,G,B,A,A,,,,,,,,
215003,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Primary,Agriculture,"25,001 to 50,000",40,Voted,,Y,I,VI,I,H,L,M,M,L,M,L,M,L,M,M,M,L,M,M,L,M,M,,,,,,,,,G,B,A,A,B,A,B,A,B,A,A,A,B,A,A,B,A,A,,,,,,,,
215004,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Agriculture,"10,000 to 25,000",40,Did not vote,1,,VI,,,L,L,M,L,M,L,M,H,H,M,L,M,L,M,H,L,M,M,,,,,M,,,,B,B,A,B,A,B,A,G,G,A,B,A,B,A,G,B,A,A,,,,,,,,
215005,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,High School,Others,"10,000 to 25,000",35,,,,,,,M-H,H,M,L,M,H,L-M,M,M,H,L-M,M,H,M,H,L-M,M,H,,,,,M,,,,G,G,A,B,A,G,B,A,A,G,B,A,G,A,G,B,A,G,,,,,,,,
215006,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Others,"25,001 to 50,000",45,Voted,,N,VI,I,VI,M,M,L,L,M,L,M,H,H,M,L,H,M,M,M,L,M,M,,,,,,,M,,A,A,B,B,A,B,A,G,G,A,B,G,A,A,A,B,A,A,,,,,,,,
215007,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,OTHERS,Primary,Others,"50,001 to 1,00,000",27,Voted,,Y,VI,VI,VI,M,L,L-M,L,M,M,L-M,M,M,L,M,H,M,M,H,L,M,M,,,,,,,,,A,B,B,B,A,A,B,A,A,B,A,G,A,A,G,B,A,A,,,,,,,,
215008,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,MUSLIM,High School,Agriculture,"25,001 to 50,000",30,Voted,,N,I,I,I,L,M,L,H,M,L,M,H,H,M,L,M,L,M,H,L,H,M,,,,,M,,,,B,A,B,G,A,B,A,G,G,A,B,A,B,A,G,B,G,A,,,,,,,,
215009,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,High School,Private,"10,000 to 25,000",43,Voted,,Y,VI,I,VI,M,H,L,M,H,M,L,M,M,H,M,M,L,M,M,L,H,M,,,,,,,,,A,G,B,A,G,A,B,A,A,G,A,A,B,A,A,B,G,A,,,,,,,,
215010,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,MUSLIM,PUC,Private,"50,001 to 1,00,000",50,Voted,,Y,VI,I,VI,L,M,L,H,L-M,M,L,M,M,H,M,L,M,M,L,L,M,H,,,,,,,,,B,A,B,G,B,A,B,A,A,G,A,B,A,A,B,B,A,G,,,,,,,,
215011,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,URBAN,Female,HINDU,High School,Others,"25,001 to 50,000",30,Voted,,N,VI,I,VI,L,M,M,L,M,L,M,L,M,L,M,H,M,L,M,L,H,M,,,,,,,,,B,A,A,B,A,B,A,B,A,B,A,G,A,B,A,B,G,A,,,,,,,,
215012,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Others,"10,000 to 25,000",35,Voted,,Y,VI,I,VI,M-H,M,L,M,M-H,L,M,M,L,M,M,L,M,M,H,M,H,M,,,,,,,,,G,A,B,A,G,B,A,A,B,A,A,B,A,A,G,A,G,A,,,,,,,,
215013,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,High School,Others,"25,001 to 50,000",24,Did not vote,1,,,,,L-M,L,M,L,M,L,M,M,L,L,M,L-M,M,M,M,L,M,L,,,,,M,,,,B,B,A,B,A,B,A,A,B,B,A,B,A,A,A,B,A,B,,,,,,,,
215014,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Primary,Agriculture,"50,001 to 1,00,000",35,Voted,,Y,VI,I,VI,M,L,M,L,M,M,H,H,M,H,M,L-M,H,M,H,L,M,M,,,,,,,,,A,B,A,B,A,A,G,G,A,G,A,B,G,A,G,B,A,A,,,,,,,,
215015,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,Degree,Govt,"50,001 to 1,00,000",37,Voted,,N,I,I,I,M-H,M,H,M,M,L,M,H,M,H,M,M-H,M,M,H,L,H,M,,,,,,,,,G,A,G,A,A,B,A,G,A,G,A,G,A,A,G,B,G,A,,,,,,,,
215016,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Primary,Others,"25,001 to 50,000",41,Voted,,Y,I,VI,I,M,H,L-M,M,M,H,M,L,H,M,M,L,M,H,H,L,M,H,M,,,,M,,,,A,G,B,A,A,G,A,B,G,A,A,B,A,G,G,B,A,G,,,,,,,,
215017,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,High School,Agriculture,"25,001 to 50,000",35,Voted,,N,VI,VI,VI,L,M,M,L,M,H,L,M,M,L,M,M-H,M,M,H,L-M,M,L,,,,,,,,,B,A,A,B,A,G,B,A,A,B,A,G,A,A,G,B,A,B,,,,,,,,
215018,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Primary,Agriculture,"10,000 to 25,000",40,Voted,,Y,VI,VI,VI,H,M,L-M,M,L,M,L-M,M,L,L,M,L,H,M,H,L-M,M,M,,,,,,,,,G,A,B,A,B,A,B,A,B,B,A,B,G,A,G,B,A,A,,,,,,,,
215019,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Degree,Govt,"1,00,001 to 2,50,000",40,Voted,,Y,I,NI,VI,H,M,L,M,M-H,M,M,H,M,M,H,M,L,M,H,L,M,H,,,,,,,,,G,A,B,A,G,A,A,G,A,A,G,A,B,A,G,B,A,G,,,,,,,,
215020,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,PUC,Private,"25,001 to 50,000",41,Voted,,Y,VI,I,NI,M,L,M,L,M,M,H,H,M,M,L,H,M,L,M,L,M,L,,,,,M,,,,A,B,A,B,A,A,G,G,A,A,B,G,A,B,A,B,A,B,,,,,,,,
215021,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,Degree,Engineering,"5,00,001 to 10,00,000",33,Did not vote,3,,,,,L,M,L,M,L,M,M,H,M,M,L,M,M,L,M,L,M,L-M,,,,,,,,,B,A,B,A,B,A,A,G,A,A,B,A,A,B,A,B,A,B,,,,,,,,
215022,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Primary,Private,"1,00,001 to 2,50,000",40,Voted,,N,I,NI,VI,H,M,L-M,M,L,H,M,H,M,M,L-M,H,M,M,H,L,H,M,,,,,,,,,G,A,B,A,B,G,A,G,A,A,B,G,A,A,G,B,G,A,,,,,,,,
215023,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,High School,Agriculture,"25,001 to 50,000",39,Did not vote,1,,,,,M,L,M,M,L,M,L-M,H,M,H,M,M,L,M-H,M,L,H,M,M,,,,M,,,,A,B,A,A,B,A,B,G,A,G,A,A,B,G,A,B,G,A,,,,,,,,
215024,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Above Degree,Private,"2,50,001 to 5,00,000",31,Did not vote,2,,,,,M-H,H,M,M,M-H,M,M,H,M,M,M,M-H,M,H,M,L-M,M,H,,,,,,,,,G,G,A,A,G,A,B,G,A,A,A,G,A,G,A,B,A,G,,,,,,,,
215025,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Others,"25,001 to 50,000",40,Voted,,N,VI,I,VI,L,M,L,L,M,L,H,M,M,L,M,M,L,M,M,L,L,M,,,,,,,M,,B,A,B,B,A,B,G,A,A,B,A,A,B,A,A,B,B,A,,,,,,,,
215026,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,OTHERS,PUC,Others,"25,001 to 50,000",20,Did not vote,2,,,,,L,L,M,M,L,M,L,H,M,M,L,L,M,M,L,L,M,M,,,,,,,,,B,B,A,A,B,A,B,G,A,A,B,B,A,A,B,B,A,A,,,,,,,,
215027,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,Primary,Private,"50,001 to 1,00,000",39,Voted,,Y,NI,I,VI,H,M,L,M,L,M,L,M,H,M,L,L,M,H,M,L-M,M,M,,,,,M,,,,G,A,B,A,B,A,B,A,G,A,B,B,A,G,A,B,A,A,,,,,,,,
215028,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,High School,Private,"25,001 to 50,000",46,Voted,,N,I,NI,VI,M,L,M,L,M,L,H,M,M,L,L,M,L,M,M,L,H,M,,,,,,,,,A,B,A,B,A,B,G,A,A,B,B,A,B,A,A,B,G,A,,,,,,,,
215029,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,CHRISTIAN,Degree,Govt,"1,00,001 to 2,50,000",52,Voted,,Y,I,VI,NI,H,H,M,L,H,M,H,H,H,M,L,M,H,M,M,L,H,M,,,,,M,,,,G,G,A,B,G,A,G,G,G,A,B,A,G,A,A,B,G,A,,,,,,,,
215031,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,Above Degree,Medical,"2,50,001 to 5,00,000",61,Voted,,N,NI,I,I,H,M,L-M,L,M,L,M,M,L,L,M,L,M,H,M,L,H,M,,,,,M,,,,G,A,B,B,A,B,A,A,B,B,A,B,A,G,A,B,G,A,,,,,,,,
215032,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Agriculture,"25,001 to 50,000",73,Voted,,Y,VI,VI,VI,,M,L,M,L,L,M,M,L,L,M,M,L,M,L,M,M,L,M,,,,,,M,,G,A,B,A,B,B,A,A,B,B,A,A,B,A,B,A,A,B,,,,,,,,
215033,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Private,"50,001 to 1,00,000",65,Voted,,Y,VI,I,VI,M,H,L,L,M,L,L,M,M,L,M,M,L,M,L,M,M,L,,,,,,,,,A,G,B,B,A,B,B,A,A,B,A,A,B,A,B,A,A,B,,,,,,,,
215034,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,PUC,Others,"25,001 to 50,000",39,Did not vote,1,,,,,M,L,L-M,M,L-M,M,L,M,M,L,M,L,M,L,M,L,M,L,,,,,,,,,A,B,B,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,,,,,,,,
215035,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,No Education,Agriculture,,39,Voted,,Y,VI,I,VI,H,M,L,M,L-M,M,L,M,M,L,M,M,M,H,M,L,H,M,,,,,,,,,G,A,B,A,B,A,B,A,A,B,A,A,A,G,A,B,G,A,,,,,,,,
215036,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,,Male,MUSLIM,High School,Others,"25,001 to 50,000",37,Voted,,N,VI,I,NI,L,M,L,M,L,M,M,H,H,M,L,H,M,M,H,L,H,M,,,M,,,,,,B,A,B,A,B,A,A,G,G,A,B,G,A,A,G,B,G,A,,,,,,,,
215037,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,No Education,Agriculture,"25,001 to 50,000",35,Voted,,N,VI,I,VI,M,H,L-M,M,L,L,M,H,M,M,L,M-H,M,L,L,M,L,M,M,,M,,,,,,A,G,B,A,B,B,A,G,A,A,B,G,A,B,B,A,B,A,,,,,,,,
215038,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,MUSLIM,Degree,Private,"25,001 to 50,000",30,,,,,,,M,L,M,H,L-M,M,L,H,M,M,L,M,L,H,M,L,M,M,,,,,,,,,A,B,A,G,B,A,B,G,A,A,B,A,B,G,A,B,A,A,,,,,,,,
215039,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,OTHERS,Primary,Others,"50,001 to 1,00,000",48,Voted,,N,I,VI,VI,H,L,M,L,M,L,M,H,M,M,L,M-H,L,M,M,L,H,M,,,,,,,,,G,B,A,B,A,B,A,G,A,A,B,G,B,A,A,B,G,A,,,,,,,,
215040,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,High School,Others,"25,001 to 50,000",38,,,,,,,M-H,H,M,M,M,H,M,M,M-H,M,M,M-H,M,H,M,M,H,M,,,,,,,,,G,G,A,A,A,G,A,A,G,A,A,G,A,G,A,A,G,A,,,,,,,,
215041,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Degree,Govt,"50,001 to 1,00,000",39,Voted,,Y,I,I,I,L-M,L,M,L,M,L,M,M,L,L,M,L,L,M,M,L,M,L,,,,,,,,,B,B,A,B,A,B,A,A,B,B,A,B,B,A,A,B,A,B,,,,,,,,
215042,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,PUC,Others,"25,001 to 50,000",40,Voted,,N,VI,VI,VI,M,L,M,L,M,L,L,M,M,L,L,M,M,L,M,L,M,M,,,,,,,,,A,B,A,B,A,B,B,A,A,B,B,A,A,B,A,B,A,A,,,,,,,,
215043,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,OTHERS,Primary,Agriculture,"25,001 to 50,000",45,Did not vote,1,,,,,M,L,M,L,M,L,M,H,H,M,L,M-H,M,M,H,L,M,M,M,,,,,,,,A,B,A,B,A,B,A,G,G,A,B,G,A,A,G,B,A,A,,,,,,,,
215044,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Degree,Govt,"1,00,001 to 2,50,000",50,Voted,,N,VI,I,VI,L,H,M,L,M,L,L,M,L,M,L-M,M,M,L,L,M,H,L,,,,,,,,,B,G,A,B,A,B,B,A,B,A,B,A,A,B,B,A,G,B,,,,,,,,
215045,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,High School,Others,"10,000 to 25,000",35,Voted,,Y,I,I,I,H,H,M,H,M,L,M,H,H,H,M,H,M,L,M,L,M,M,,,,,,,,,G,G,A,G,A,B,A,G,G,G,A,G,A,B,A,B,A,A,,,,,,,,
215046,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,CHRISTIAN,PUC,Govt,"50,001 to 1,00,000",40,Voted,,Y,,I,VI,M,L,M,H,M,L,M,H,M,M,L-M,H,M,M,H,L,H,M,,,,,,,,,A,B,A,G,A,B,A,G,A,A,B,G,A,A,G,B,G,A,,,,,,,,
215047,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,PUC,Govt,"50,001 to 1,00,000",44,Voted,,N,I,VI,NI,M,L,M,H,L,M,L,H,H,M,L-M,M,L,M,M,L,H,M,,,,,,,,,,B,A,G,B,A,B,G,G,A,B,A,B,A,A,B,G,A,,,,,,,,
215048,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,High School,Private,"25,001 to 50,000",38,Voted,,Y,VI,I,NI,L,L,M,L,M,L,M,H,M,L,M,M,L,M,M,L,M,M,,,,,,,,,B,B,A,B,A,B,A,G,A,B,A,A,B,A,A,B,A,A,,,,,,,,
215049,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,,,,,,,,,,,,,H,M,L,H,M,H,M,H,M,M,H,L,M,H,H,M,M,L,,,,,,,,,G,A,B,G,A,G,A,G,A,A,G,B,A,G,G,A,A,B,,,,,,,,
215051,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Male,HINDU,Primary,Agriculture,"50,001 to 1,00,000",71,Voted,,Y,I,I,I,L,M,L-M,L,M,L,M,L,M,L,M,M,L,M,L,L-M,M,M,,,M,,M,,,,B,A,B,B,A,B,A,B,A,B,A,A,B,A,B,B,A,A,,,,,,,,
215052,MYSORE,Chamundeshwari,INC,M.SATHYANARAYANA,215,RURAL,Female,HINDU,PUC,Others,"25,001 to 50,000",22,Voted,,N,NI,I,VI,M,L,L,M,M-H,L,M,H,M,M,L,M,H,M,M,L,H,M,,,,,,,,,A,B,B,A,G,B,A,G,A,A,B,A,G,A,A,B,G,A,,,,,,,,
216001,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,HINDU,PUC,Business,"50,001 to 1,00,000",29,Voted,,Y,VI,VI,VI,,,,,,,,,,,,M,H,M-H,H,M,M,M-H,M-H,H,M,H,M,L,M,H,,,,,,,,,,,,A,G,G,G,A,A,G,G,G,A,G,A,B,A,G
216002,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Female,HINDU,PUC,Others,"Under 10,000",21,Did not vote,2,,,,,,,M,,,,,,,,,M,H,H,H,M,H,M,H,H,M,H,M,L,M,M,,,,,,,,,,,,A,G,G,G,A,G,A,G,G,A,G,A,B,A,A
216003,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,MUSLIM,Degree,Private,"50,001 to 1,00,000",35,Voted,,N,VI,I,NI,,,M,,,,,,,,M,M,H,H,H,M,M,M,H,H,M,M,M,L,M,H,,,,,,,,,,,,A,G,G,G,A,A,A,G,G,A,A,G,B,A,G
216004,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,MUSLIM,PUC,Business,"1,00,001 to 2,50,000",55,Voted,,N,VI,I,NI,,,,,,,M,,,,,M,H,H,H,M,M,M,H,H,M,H,M,L,M,H,,,,,,,,,,,,A,G,G,G,A,A,A,G,G,A,G,A,B,A,G
216005,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Female,CHRISTIAN,Above Degree,Law,"1,00,001 to 2,50,000",34,Voted,,Y,VI,I,NI,M,,,,M,,,,M,,,M,H,H,H,M,L,M,H,H,M,H,M,L,M,H,,,,,,,,,,,,A,G,G,G,A,B,A,G,G,A,G,A,B,A,G
216006,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,OTHERS,Degree,Govt,"2,50,001 to 5,00,000",43,Voted,,N,I,VI,VI,,,M,,,,,,,,,M,H,H,H,L,M,M,H,H,M,H,M,L,M,H,,,,,,,,,,,,A,G,G,G,B,A,A,G,G,A,G,A,B,A,G
216007,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,HINDU,High School,Others,"50,001 to 1,00,000",42,Voted,,N,VI,I,NI,,,,,,,,,,,,M,H,H,H,M,H,M,M,H,H,M,M,L,M,M,,,,,,,,,,,,A,G,G,G,B,G,A,A,G,G,A,A,B,A,A
216008,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,MUSLIM,Primary,Others,"10,000 to 25,000",43,Voted,,N,NI,I,VI,,,,,,,,,M,,,M,H,H,M,L,M,H,H,H,M,H,M,L,M,H,,,,,,,,,,,,A,G,G,A,B,B,G,G,G,A,G,A,B,A,G
216009,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Female,HINDU,Degree,Private,"10,000 to 25,000",30,Voted,,N,VI,I,I,,,M,,,,,,,,,L-M,H,H,M,L,M,H,H,H,M,M,M,H,L,M,,,,,,,,,,,,B,G,G,A,B,A,G,G,G,A,A,A,G,B,A
216010,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,CHRISTIAN,Above Degree,Medical,"2,50,001 to 5,00,000",52,Voted,,N,NI,I,VI,,,,,,,,,,,,L,H,M,H,L,M,M,H,H,M,M,H,M,L,M,,,,,,,,,,,,B,G,A,G,B,A,A,G,G,A,A,G,A,B,A
216011,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,HINDU,Degree,Business,"1,00,001 to 2,50,000",68,Voted,,Y,VI,I,VI,,,,,,,,,,,,L,H,M,H,L,H,M,M-H,H,L,M,M,L,M,H,,,,,,,,,,,,B,G,A,G,B,G,A,G,G,B,A,A,B,A,G
216012,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,MUSLIM,PUC,Private,"50,001 to 1,00,000",48,Voted,,N,NI,I,VI,,,,,M,,,,M,,,M,H,H,M,L,H,M,H,H,M,L,M,H,M,H,,,,,,,,,,,,A,G,G,A,B,G,A,G,G,A,B,A,G,A,G
216013,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Female,HINDU,Degree,Others,"50,001 to 1,00,000",55,Voted,,N,NI,I,VI,,,M,,,,M,,,,,L,M,H,M,L,M,H,H,M,L,M,L,M,H,M,,,,,,,,,,,,B,A,G,A,B,G,G,G,A,B,A,B,A,G,A
216014,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,MUSLIM,Primary,Business,"10,000 to 25,000",64,Voted,,N,I,NI,I,,,,,,,,,,,,L,H,H,M,M,H,L,M,H,M,M,L-M,H,L,M,,,,,,,,,,,,B,G,G,A,A,G,B,A,G,A,A,B,G,B,A
216015,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Female,HINDU,Degree,Govt,"50,001 to 1,00,000",25,Did not vote,1,,,,,,,M,,,,,,,,,L-M,M,M,H,L,M,L,M,H,L,M,M,L,M,L,,,,,,,,,,,,B,A,A,G,B,A,B,A,G,B,A,A,B,A,B
216016,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,HINDU,Above Degree,Business,"2,50,001 to 5,00,000",48,Voted,,N,VI,NI,VI,,,,,,,,,,,,L,H,M,H,L,H,M,H,H,L,M,H,M,H,M,,,,,,,,,,,,B,G,A,G,B,G,A,G,G,B,A,G,A,G,A
216017,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,HINDU,PUC,Business,"50,001 to 1,00,000",39,Voted,,Y,I,VI,NI,,,M,,,,,,,,,M,H,H,H,L,L,M,H,H,M,H,L-M,M,L,H,,,,,,,,,,,,A,G,G,G,A,B,G,G,G,A,G,B,A,B,G
216018,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,OTHERS,Degree,Engineering,"2,50,001 to 5,00,000",37,Voted,,Y,NI,VI,VI,,,,,,,,,,,,L,H,M,H,L,M,H,M-H,H,M,H,L,M,L-M,H,,,,,,,,,,,,B,G,A,G,B,A,G,G,G,A,G,B,A,B,G
216019,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,,Female,HINDU,Degree,Govt,"1,00,001 to 2,50,000",40,Voted,,Y,I,VI,NI,M,,,,M,,,,,,,M,M,H,H,L,M,M,H,H,H,H,M,M,H,H,,,,,,,,,,,,B,A,G,G,B,A,A,G,G,G,G,A,A,G,G
216020,MYSORE,Krishnaraja,BJP,S.A.RAMADASS,216,URBAN,Male,CHRISTIAN,PUC,Private,"25,001 to 50,000",27,Voted,,N,I,VI,VI,,,,,M,,,,M,,,M,H,H,M,L,M,M,H,H,H,M,M,L,M,H,,,,,,,,,,,,A,G,G,A,B,A,B,G,G,G,A,A,B,A,G
